=== COMPOSITION hunt (18×18 · N=20000 · MAXARG=2000000 · exact int) ===

[A] comp(n) = k·n   (superperfect = σ∘σ, k=2)
[B] comp(n) = af(h,n) + n   (σ∘σ=σ+n ⟺ σ prime · Mersenne)
[C] comp(n) = af(h,n)   (σ∘φ=n, φ∘σ=n classical)
[D] comp1(n) = comp2(n)   (composition vs composition · low-growth subset)

======================================================================

── Frame A (=k·n): bounded=284  universal/structural=9
   [novel?]                 J₂∘φ = μ²                          sol=[2]
   [novel?]                 J₂∘φ = τ                           sol=[4]
   [novel?]                 J₂∘φ = φ                           sol=[2]
   [novel?]                 J₂∘φ = ω                           sol=[2]
   [novel?]                 J₃∘2^ω = J₃                        sol=[2]
   [novel?]                 J₃∘rad = Ω                         sol=[128]
   [novel?]                 J₃∘rad = σ                         sol=[4]
   [novel?]                 J₃∘rad = τ                         sol=[64]
   [novel?]                 J₃∘Ω = n                           sol=[56]
   [novel?]                 J₃∘Ω = φ                           sol=[2]
   [novel?]                 J₃∘μ² = φ                          sol=[2]
   [novel?]                 J₃∘σ = σ₃                          sol=[17]
   [novel?]                 J₃∘τ = J₃                          sol=[2]
   [novel?]                 J₃∘τ = n                           sol=[7]
   [novel?]                 J₃∘τ = rad                         sol=[7]
   [novel?]                 J₃∘φ = core                        sol=[2]
   [novel?]                 J₃∘φ = Ω                           sol=[2]
   [novel?]                 J₃∘φ = μ²                          sol=[2]
   [novel?]                 J₃∘φ = σ                           sol=[4]
   [novel?]                 J₃∘φ = φ                           sol=[2]
   [novel?]                 J₃∘φ = ω                           sol=[2]
   … (+832 more bounded hits)

── Frame D (comp=comp): bounded=1383  universal/structural=1887
   [novel?]                 core∘rad = Ω∘ψ                     sol=[2]
   [novel?]                 core∘sopfr = φ∘ψ                   sol=[4]
   [novel?]                 core∘σ = σ∘φ                       sol=[2]
   [novel?]                 core∘τ = n∘sopfr                   sol=[9240]
   [novel?]                 core∘τ = sopfr∘n                   sol=[9240]
   [novel?]                 core∘τ = σ∘sopfr                   sol=[11880]
   [novel?]                 core∘τ = ψ∘sopfr                   sol=[11880]
   [novel?]                 core∘φ = φ∘n                       sol=[2]
   [novel?]                 core∘φ = φ∘ψ                       sol=[5]
   [novel?]                 n∘n = rad∘ψ                        sol=[6]
   [novel?]                 n∘n = sopfr∘ψ                      sol=[5]
   [novel?]                 n∘n = σ∘rad                        sol=[12]
   [novel?]                 n∘n = τ∘rad                        sol=[2]
   [novel?]                 n∘n = τ∘sopfr                      sol=[2]
   [novel?]                 n∘n = φ∘ψ                          sol=[2]
   [novel?]                 n∘n = ψ∘rad                        sol=[12]
   [novel?]                 n∘n = ψ∘sopfr                      sol=[6]
   [novel?]                 n∘σ = σ∘τ                          sol=[2]
   [novel?]                 n∘σ = ψ∘τ                          sol=[2]
   [novel?]                 n∘τ = n∘n                          sol=[2]
   [novel?]                 n∘φ = core∘core                    sol=[2]
   [novel?]                 n∘φ = core∘rad                     sol=[2]
